,uid,domainID,siteID,namedLocation,locationID,startDate,endDate,ongoingEvent,estimatedOrActualDate,dateRemarks,eventID,samplingProtocolVersion,eventType,methodTypeChoice,name,scientificName,otherScientificName,fireSeverity,biomassRemoval,minQuantity,maxQuantity,quantityUnit,reporterType,remarks,recordedBy,dataQF,publicationDate,release
77,98a8b13a-9b5f-4123-a09c-4fd1cf7b8374,D01,BART,BART,SOILPL100495,8/30/23,9/29/23,Y,actual,,BART.20230601.otherNaturalDisturbance,NEON.DOC.003282vD,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,"Soil plot 5 has periodically flooded this summer due to heavy rains. Other soil plots typically have flowing water, but it recedes quickly. Plot 5 remains inundated for longer periods of time.",0000-0003-1934-4447,,20241118T213016Z,RELEASE-2025
78,ea6978aa-bc06-46c6-856c-d450a731d47e,D01,BART,BART,SOILPL100495,9/29/23,10/29/23,Y,actual,,BART.20230601.otherNaturalDisturbance,NEON.DOC.003282vD,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,"Soil plot 5 has periodically flooded this summer due to heavy rains. Other soil plots typically have flowing water, but it recedes quickly. Plot 5 remains inundated for longer periods of time.",0000-0003-1934-4447,,20241118T074512Z,RELEASE-2025
79,dfcc973c-61d3-42c9-af31-4d12a84d2836,D01,BART,BART,SOILPL100495,10/29/23,11/28/23,Y,actual,,BART.20230601.otherNaturalDisturbance,NEON.DOC.003282vD,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,"Soil plot 5 has periodically flooded this summer due to heavy rains. Other soil plots typically have flowing water, but it recedes quickly. Plot 5 remains inundated for longer periods of time.",0000-0003-1934-4447,,20241118T022312Z,RELEASE-2025
80,d34f6993-a73c-438e-9522-b081cc62fe62,D01,BART,BART,SOILPL100495,11/28/23,12/28/23,Y,estimated,ongoing event,BART.20230601.otherNaturalDisturbance,NEON.DOC.003282vD,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,"Soil plot 5 has periodically flooded this summer due to heavy rains. Other soil plots typically have flowing water, but it recedes quickly. Plot 5 remains inundated for longer periods of time.",0000-0003-1934-4447,,20241118T170205Z,RELEASE-2025
111,b632ed07-3218-4fde-ae5b-f23e9aea5d5d,D17,BIGC,BIGC,"BIGC.AOS.discharge, S2LOC111034, CFGLOC111036, CFGLOC113856, CFGLOC111037, CFGLOC113857, CFGLOC111035, CFGLOC111038",4/5/20,4/7/20,N,estimated,The latest start date is 2020-04-05. The earliest end date is 2020-04-06.,BIGC.20200405.otherNaturalDisturbance,NEON.DOC.003282vC,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,Storm and subsequent 'flooding' occurred from 04/05/20 ~1800 UTC through 04/06/20 ~ 2000 UTC. Sensors remained buried until 6/16/2020 when we regained field access. Crew was not able to assess potential flood impacts at other AOS locations (i.e. plant transects) due to COVID.,0000-0001-7072-0706,,20241118T034826Z,RELEASE-2025
175,f30f8812-e349-4ca0-a79e-fe4ac6f32c27,D02,BLAN,BLAN,"BLAN_003.basePlot.all, BLAN_014.basePlot.all, BLAN_015.tickPlot.tck, BLAN_003.mammalGrid.mam, BLAN_024.mosquitoPoint.mos, BLAN_029.mosquitoPoint.mos",5/16/18,6/10/18,N,,,BLAN.20180516.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,16,,cm,primary,River flooded during frequent rains,Lcard@battelleecology.org,,20241118T024036Z,RELEASE-2025
176,50f8a2da-436b-4f4b-9d4b-9338bbe345b7,D02,BLAN,BLAN,"BLAN_003.basePlot.all, BLAN_014.basePlot.all, BLAN_015.basePlot.all, BLAN_015.tickPlot.tck, BLAN_001.mammalGrid.mam, BLAN_003.mammalGrid.mam, BLAN_024.mosquitoPoint.mos, BLAN_029.mosquitoPoint.mos",5/16/18,6/10/18,N,,,BLAN.20180516.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,178,,cm,primary,in BLAN_001M could see floodline with debris on trees likely less flooding in other plots that are farther from river. Shenandoah River flooded. River flooded during frequent rains,Lcard@battelleecology.org,,20241118T024036Z,RELEASE-2025
177,8fc7bccc-3201-42bd-b94e-97828e6144ce,D02,BLAN,BLAN,BLAN_015.basePlot.all,5/16/18,6/10/18,N,,,BLAN.20180516.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,10,,cm,primary,Shenandoah River flooded due to frequent rains,Lcard@battelleecology.org,,20241118T024036Z,RELEASE-2025
214,42621068-9d9f-4ac8-9a98-0f20bf6fe4d4,D12,BLDE,BLDE,"BLDE.AOS.reach,BLDE.AOS.groundwater.well.008,BLDE.AOS.groundwater.well.007,BLDE.AOS.groundwater.well.006,BLDE.AOS.groundwater.well.005,BLDE.AOS.groundwater.well.004,BLDE.AOS.groundwater.well.003,BLDE.AOS.groundwater.well.002,BLDE.AOS.groundwater.well.001,BLDE.AOS.riparian.transect.10,BLDE.AOS.riparian.transect.09,BLDE.AOS.riparian.transect.08,BLDE.AOS.riparian.transect.07,BLDE.AOS.riparian.transect.06,BLDE.AOS.riparian.transect.05,BLDE.AOS.riparian.transect.04,BLDE.AOS.riparian.transect.03,BLDE.AOS.riparian.transect.02,BLDE.AOS.riparian.transect.01, BLDE.AOS.gauge,BLDE.AOS.discharge,BLDE.AOS.S2,CFGLOC103833,CFGLOC103835,CFGLOC103831,CFGLOC103827,CFGLOC103829,CFGLOC103837,CFGLOC103825,CFGLOC103823,SGAUGE103819,CFGLOC103820,BLDE.AOS.gauge,S1LOC103810,CFGLOC103812,CFGLOC103813,CFGLOC103811,S2LOC103814,CFGLOC103816,CFGLOC103818,CFGLOC103815,CFGLOC103817,METSTN103838,CFGLOC103841,CFGLOC103844,CFGLOC103842,CFGLOC103840,CFGLOC103839,CFGLOC103843",6/12/22,6/14/22,N,actual,"Date of flood event, high flows persisted beyond flood.",BLDE.20220612.otherNaturalDisturbance,NEON.DOC.003282vD,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,Heavy rain caused by a 3000 mile long atmospheric river dropped an unprecedented amount of water on a historically deep late-season snowpack causing extensive flooding and road damage throughout Yellowstone National Park. Site inaccessible. roads damaged/destroyed due to flooding. National Park Closed. Will resume sampling when able.,0000-0003-4208-4989,,20241118T202927Z,RELEASE-2025
226,a904ac53-17aa-4d5f-ac16-627eb7a65419,D11,BLUE,BLUE,"METSTN103874,BLUE.AOS.reach,BLUE.AOS.riparian.transect.01,BLUE.AOS.riparian.transect.02,BLUE.AOS.riparian.transect.03,BLUE.AOS.riparian.transect.04,BLUE.AOS.riparian.transect.05,BLUE.AOS.riparian.transect.06,BLUE.AOS.riparian.transect.07,BLUE.AOS.riparian.transect.08,BLUE.AOS.riparian.transect.09,BLUE.AOS.riparian.transect.10,BLUE.AOS.S2,BLUE.AOS.groundwater.well.001,BLUE.AOS.groundwater.well.002,BLUE.AOS.groundwater.well.003,BLUE.AOS.groundwater.well.004,BLUE.AOS.groundwater.well.005,BLUE.AOS.groundwater.well.006,BLUE.AOS.groundwater.well.007,BLUE.AOS.groundwater.well.008,CFGLOC103882",7/1/17,7/2/17,N,,,BLUE.20170701.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,unknown,311 meters per sec.,nfenster@battelleecology.org,,20241118T085545Z,RELEASE-2025
227,9d6d4e40-b6b6-4082-92ec-ddbaf46bc4f9,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.S2",5/2/18,5/8/18,N,,,BLUE.20180502.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,8000,,cubicFeetPerSecond,secondary,Flood event peak discharge. High flow event resulted in damage instream infrastructure at Sensor set 1 and 2,mpaulsen@battelleecology.org,,20241118T024204Z,RELEASE-2025
228,049f9f79-d4c0-4344-9d5e-7bbf448a9957,D11,BLUE,BLUE,"METSTN103874,BLUE.AOS.reach,BLUE.AOS.riparian.transect.01,BLUE.AOS.riparian.transect.02,BLUE.AOS.riparian.transect.03,BLUE.AOS.riparian.transect.04,BLUE.AOS.riparian.transect.05,BLUE.AOS.riparian.transect.06,BLUE.AOS.riparian.transect.07,BLUE.AOS.riparian.transect.08,BLUE.AOS.riparian.transect.09,BLUE.AOS.riparian.transect.10,BLUE.AOS.S2,BLUE.AOS.groundwater.well.001,BLUE.AOS.groundwater.well.002,BLUE.AOS.groundwater.well.003,BLUE.AOS.groundwater.well.004,BLUE.AOS.groundwater.well.005,BLUE.AOS.groundwater.well.006,BLUE.AOS.groundwater.well.007,BLUE.AOS.groundwater.well.008,CFGLOC103882",5/19/18,5/22/18,N,estimated,The latest start date is 2018-05-20.,BLUE.20180519.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,unknown,"Discharge 368 m/sec. AIS sensors damaged, permanent markers lost. AIS sensors damaged, permanent markers lost",nfenster@battelleecology.org,,20241118T024204Z,RELEASE-2025
229,33f32677-1c86-4842-b1ae-1b088c3ca796,D11,BLUE,BLUE,"BLUE.AOS.groundwater.well.001, BLUE.AOS.groundwater.well.002, BLUE.AOS.groundwater.well.003, BLUE.AOS.groundwater.well.004, BLUE.AOS.groundwater.well.005, BLUE.AOS.groundwater.well.006, BLUE.AOS.groundwater.well.007, BLUE.AOS.groundwater.well.008",8/13/18,8/13/18,N,actual,,BLUE.20180813.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,Flood. Max discharge registered at USGS 07332390 on August 14th was 1900 CFS at 05:45 AM local time,cburton@battelleecology.org,,20241118T112253Z,RELEASE-2025
230,9cc54e9e-de22-414a-9acd-3740d04d0a7c,D11,BLUE,BLUE,"METSTN103874,BLUE.AOS.reach,BLUE.AOS.riparian.transect.01,BLUE.AOS.riparian.transect.02,BLUE.AOS.riparian.transect.03,BLUE.AOS.riparian.transect.04,BLUE.AOS.riparian.transect.05,BLUE.AOS.riparian.transect.06,BLUE.AOS.riparian.transect.07,BLUE.AOS.riparian.transect.08,BLUE.AOS.riparian.transect.09,BLUE.AOS.riparian.transect.10,BLUE.AOS.S2,BLUE.AOS.groundwater.well.001,BLUE.AOS.groundwater.well.002,BLUE.AOS.groundwater.well.003,BLUE.AOS.groundwater.well.004,BLUE.AOS.groundwater.well.005,BLUE.AOS.groundwater.well.006,BLUE.AOS.groundwater.well.007,BLUE.AOS.groundwater.well.008,CFGLOC103882",8/13/18,8/13/18,N,actual,,BLUE.20180813.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,1900,,cubicFeetPerSecond,primary,Max discharge registered at USGS 07332390 on August 14th was 1900 CFS at 05:45 AM local time,cburton@battelleecology.org,,20241118T112253Z,RELEASE-2025
231,d79e0d55-78d2-41f5-88b4-ce0b47a5d5dd,D11,BLUE,BLUE,"METSTN103874,BLUE.AOS.reach,BLUE.AOS.riparian.transect.01,BLUE.AOS.riparian.transect.02,BLUE.AOS.riparian.transect.03,BLUE.AOS.riparian.transect.04,BLUE.AOS.riparian.transect.05,BLUE.AOS.riparian.transect.06,BLUE.AOS.riparian.transect.07,BLUE.AOS.riparian.transect.08,BLUE.AOS.riparian.transect.09,BLUE.AOS.riparian.transect.10,BLUE.AOS.S2,BLUE.AOS.groundwater.well.001,BLUE.AOS.groundwater.well.002,BLUE.AOS.groundwater.well.003,BLUE.AOS.groundwater.well.004,BLUE.AOS.groundwater.well.005,BLUE.AOS.groundwater.well.006,BLUE.AOS.groundwater.well.007,BLUE.AOS.groundwater.well.008,CFGLOC103882",9/21/18,9/21/18,N,actual,,BLUE.20180921.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,other,,,,,,23500,,cubicFeetPerSecond,primary,"Peak recorded discharge on 20180921 of 23500 cfs or 665,000 lps. Flood",cburton@battelleecology.org,,20241118T050333Z,RELEASE-2025
232,09dce537-b4b5-45d1-a670-8dca2b9615a8,D11,BLUE,BLUE,BLUE,10/6/18,10/7/18,N,,,BLUE.20181006.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,other,,,,,,,,,secondary,"Flood at BLUE, peak discharge of 4000 cfs",cburton@battelleecology.org,,20241118T083836Z,RELEASE-2025
235,bd7355d5-b924-4774-99c3-3befbc6716e2,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.riparian.transect.01, BLUE.AOS.riparian.transect.02, BLUE.AOS.riparian.transect.03, BLUE.AOS.riparian.transect.04, BLUE.AOS.riparian.transect.05, BLUE.AOS.riparian.transect.06, BLUE.AOS.riparian.transect.07, BLUE.AOS.riparian.transect.08, BLUE.AOS.riparian.transect.09, BLUE.AOS.riparian.transect.10, BLUE.AOS.S2",10/24/19,10/29/19,N,estimated,The latest start date is 2019-10-25. The earliest end date is 2019-10-29.,BLUE.20191024.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,5663,47289,liter per sec,primary,"Heavy precipitation over the Blue River watershed from 20191024 to 20191026 caused discharge to increase from base flow conditions of around 2,000 lps to a maximum estimated discharge of 47,289 lps on 20191026. By 20191029 discharge had decreased to an estimated 5,663 lps. Discharge was estimated based on USGS Monitoring Gage 07332390, located downstream from the permitted reach boundary.",0000-0002-2086-5736,,20241118T133024Z,RELEASE-2025
236,60dbdc33-a85a-4024-a72d-3675c49c112d,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.riparian.transect.01, BLUE.AOS.riparian.transect.02, BLUE.AOS.riparian.transect.03, BLUE.AOS.riparian.transect.04, BLUE.AOS.riparian.transect.05, BLUE.AOS.riparian.transect.06, BLUE.AOS.riparian.transect.07, BLUE.AOS.riparian.transect.08, BLUE.AOS.riparian.transect.09, BLUE.AOS.riparian.transect.10, BLUE.AOS.S2",10/30/19,11/2/19,N,estimated,The latest start date is 2019-10-30. The earliest end date is 2019-11-02.,BLUE.20191030.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,5663,14158,liter per sec,primary,"Precipitation over the Blue River Watershed on 20191030 caused discharge to increase from an estimated 5,663 lps to an estimated 14,158 lps on 20191030 and 20191031. Discharge dropped below an estimated 5,663 lps by 20191102. Estimations are based on USGS Monitoring gage 07332390 which is located downstream from the permitted reach boundary.",0000-0002-2086-5736,,20241118T050705Z,RELEASE-2025
238,2d31ef66-fafe-4d06-a174-927747a1a000,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.riparian.transect.01, BLUE.AOS.riparian.transect.02, BLUE.AOS.riparian.transect.03, BLUE.AOS.riparian.transect.04, BLUE.AOS.riparian.transect.05, BLUE.AOS.riparian.transect.06, BLUE.AOS.riparian.transect.07, BLUE.AOS.riparian.transect.08, BLUE.AOS.riparian.transect.09, BLUE.AOS.riparian.transect.10, BLUE.AOS.S2",11/6/19,11/13/19,N,estimated,The latest start date is 2019-11-06. The earliest end date is 2019-11-13.,BLUE.20191106.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,6201,56633,liter per sec,primary,"Precipitation over the Blue River watershed on 20191106 caused discharge levels on site to increase from an estimated 5,663 lps to an estimated 56633 lps on 20191106. As of 20191113 discharge levels have dropped to an estimated 6,201 lps. Estimations are based on USGS Monitoring gage 07332390 which is located downstream from the permitted reach boundary.",0000-0002-2086-5736,,20241118T050705Z,RELEASE-2025
255,ee815243-d2ca-4af2-9c59-13e459b9a2fc,D19,BONA,BONA,"BONA_036.mosquitoPoint.mos, BONA_039.mosquitoPoint.mos",4/3/19,5/2/19,N,,,BONA.20190403.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,other,,,,,,,,,unknown,The snow on the top of the ridge was too deep to reach the last two MOS points - Bouts 1-3 we were only able to sample 8/10 MOS points.,lpetrauski@battelleecology.org,,20241118T190314Z,RELEASE-2025
310,412401d4-9c86-4c7e-8247-9ef3746028d4,D11,CLBJ,CLBJ,CLBJ_022.basePlot.all,9/26/17,9/26/17,N,actual,,CLBJ.20170926.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,primary,fallen tree in nested subplot 32. fallen tree,jjamison@battelleecology.org,,20241118T054743Z,RELEASE-2025
389,4f939e48-9d9b-460d-aa72-1f7c86430ea9,D13,COMO,COMO,"METSTN101554,COMO.AOS.reach,COMO.AOS.riparian.transect.01,COMO.AOS.riparian.transect.02,COMO.AOS.riparian.transect.03,COMO.AOS.riparian.transect.04,COMO.AOS.riparian.transect.05,COMO.AOS.riparian.transect.06,COMO.AOS.riparian.transect.07,COMO.AOS.riparian.transect.08,COMO.AOS.riparian.transect.09,COMO.AOS.riparian.transect.10,COMO.AOS.S2,COMO.AOS.groundwater.well.001,COMO.AOS.groundwater.well.002,COMO.AOS.groundwater.well.003,COMO.AOS.groundwater.well.004,COMO.AOS.groundwater.well.005,COMO.AOS.groundwater.well.006,COMO.AOS.groundwater.well.007,COMO.AOS.groundwater.well.008",5/1/19,5/31/19,Y,,,COMO.20190501.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,other,,,,,,,,,primary,High discharge and snow melt. Snow melt is creating a few small and large tributaries that are adding additional water between S1 and S2. There are a couple more smaller ones besides these four as well.,zlafaver@battelleecology.org,,20241118T041224Z,RELEASE-2025
390,85c704bc-a905-42fe-9949-678de0e861cb,D13,COMO,COMO,"METSTN101554,COMO.AOS.reach,COMO.AOS.riparian.transect.01,COMO.AOS.riparian.transect.02,COMO.AOS.riparian.transect.03,COMO.AOS.riparian.transect.04,COMO.AOS.riparian.transect.05,COMO.AOS.riparian.transect.06,COMO.AOS.riparian.transect.07,COMO.AOS.riparian.transect.08,COMO.AOS.riparian.transect.09,COMO.AOS.riparian.transect.10,COMO.AOS.S2,COMO.AOS.groundwater.well.001,COMO.AOS.groundwater.well.002,COMO.AOS.groundwater.well.003,COMO.AOS.groundwater.well.004,COMO.AOS.groundwater.well.005,COMO.AOS.groundwater.well.006,COMO.AOS.groundwater.well.007,COMO.AOS.groundwater.well.008",6/3/19,6/3/19,N,actual,,COMO.20190603.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,other,,,,,,,,,primary,The sensor infrastructure is vibrating due to high flow at the creek. This is causing the whole unistrut to shake and is making the PAR on both sensor sets to become unlevel.,zlafaver@battelleecology.org,,20241118T025646Z,RELEASE-2025
392,e7680de3-734c-450f-ad37-fcbc27ea28b1,D13,COMO,COMO,"METSTN101554,COMO.AOS.reach,COMO.AOS.riparian.transect.01,COMO.AOS.riparian.transect.02,COMO.AOS.riparian.transect.03,COMO.AOS.riparian.transect.04,COMO.AOS.riparian.transect.05,COMO.AOS.riparian.transect.06,COMO.AOS.riparian.transect.07,COMO.AOS.riparian.transect.08,COMO.AOS.riparian.transect.09,COMO.AOS.riparian.transect.10,COMO.AOS.S2,COMO.AOS.groundwater.well.001,COMO.AOS.groundwater.well.002,COMO.AOS.groundwater.well.003,COMO.AOS.groundwater.well.004,COMO.AOS.groundwater.well.005,COMO.AOS.groundwater.well.006,COMO.AOS.groundwater.well.007,COMO.AOS.groundwater.well.008",5/31/19,6/30/19,Y,actual,,COMO.20190501.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,other,,,,,,,,,primary,High discharge and snow melt. Snow melt is creating a few small and large tributaries that are adding additional water between S1 and S2. There are a couple more smaller ones besides these four as well.,zlafaver@battelleecology.org,,20241118T025646Z,RELEASE-2025
393,f1ad5c95-ab3d-4fdd-a3d7-b87eae488aa2,D13,COMO,COMO,"METSTN101554,COMO.AOS.reach,COMO.AOS.riparian.transect.01,COMO.AOS.riparian.transect.02,COMO.AOS.riparian.transect.03,COMO.AOS.riparian.transect.04,COMO.AOS.riparian.transect.05,COMO.AOS.riparian.transect.06,COMO.AOS.riparian.transect.07,COMO.AOS.riparian.transect.08,COMO.AOS.riparian.transect.09,COMO.AOS.riparian.transect.10,COMO.AOS.S2,COMO.AOS.groundwater.well.001,COMO.AOS.groundwater.well.002,COMO.AOS.groundwater.well.003,COMO.AOS.groundwater.well.004,COMO.AOS.groundwater.well.005,COMO.AOS.groundwater.well.006,COMO.AOS.groundwater.well.007,COMO.AOS.groundwater.well.008",6/30/19,7/29/19,N,,,COMO.20190501.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,other,,,,,,,,,primary,High discharge and snow melt. Snow melt is creating a few small and large tributaries that are adding additional water between S1 and S2. There are a couple more smaller ones besides these four as well.,zlafaver@battelleecology.org,,20241118T151121Z,RELEASE-2025
490,9d05adf4-3fab-4b18-a829-1e8dbba62d67,D04,CUPE,CUPE,"CUPE.AOS.reach,CUPE.AOS.riparian.transect.10,CUPE.AOS.riparian.transect.09,CUPE.AOS.riparian.transect.08,CUPE.AOS.riparian.transect.07,CUPE.AOS.riparian.transect.06,CUPE.AOS.riparian.transect.05,CUPE.AOS.riparian.transect.04,CUPE.AOS.riparian.transect.03,CUPE.AOS.riparian.transect.02,CUPE.AOS.riparian.transect.01,CUPE.AOS.gauge,CUPE.AOS.discharge,CUPE.AOS.S2,SGAUGE104140,CFGLOC113865,S1LOC101346,CFGLOC113845,S2LOC101350,S2LOC101350,METSTN101363,CFGLOC101369,CFGLOC101366,CFGLOC101367,CFGLOC101364,CFGLOC101368,CFGLOC101365,CFGLOC101371,CFGLOC101370",9/19/17,9/19/17,N,actual,,CUPE.20170919.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,naturalDisturbance-hurricaneDamage,,,,,,,,,primary,Hurricane Maria,,,20241118T133309Z,RELEASE-2025
