,Unnamed: 0,uid,domainID,siteID,namedLocation,locationID,startDate,endDate,ongoingEvent,estimatedOrActualDate,dateRemarks,eventID,samplingProtocolVersion,eventType,methodTypeChoice,name,scientificName,otherScientificName,fireSeverity,biomassRemoval,minQuantity,maxQuantity,quantityUnit,reporterType,remarks,recordedBy,dataQF,publicationDate,release
50,50,a1b4bff8-8704-4513-825e-63bbd111e4f6,D18,BARR,BARR,BARR_084.mammalGrid.mam,8/31/17,9/30/17,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T194700Z,RELEASE-2025
51,51,1ded9f7a-f604-4a9d-901e-eba2217cce87,D18,BARR,BARR,BARR_084.mammalGrid.mam,9/30/17,10/30/17,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T161345Z,RELEASE-2025
52,52,e38caa49-84b4-4a83-9e73-18714f61116a,D18,BARR,BARR,BARR_084.mammalGrid.mam,10/30/17,11/29/17,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T010305Z,RELEASE-2025
53,53,8a00a2c5-1104-4da5-9989-ec84a7047fdb,D18,BARR,BARR,BARR_084.mammalGrid.mam,11/29/17,12/29/17,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T022542Z,RELEASE-2025
54,54,f3b46790-5aa3-4541-9d9e-ac6f21c6112d,D18,BARR,BARR,BARR_084.mammalGrid.mam,12/29/17,1/28/18,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T010912Z,RELEASE-2025
55,55,9b8af661-c70e-4db1-8450-e20b04cc6cce,D18,BARR,BARR,BARR_084.mammalGrid.mam,1/28/18,2/27/18,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T190106Z,RELEASE-2025
56,56,b0001bf4-e93e-45e8-b9a1-f770d25a1b2a,D18,BARR,BARR,BARR_084.mammalGrid.mam,2/27/18,3/29/18,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T182340Z,RELEASE-2025
57,57,df7d93cd-b9e2-4c24-8ed9-7534627f911a,D18,BARR,BARR,BARR_084.mammalGrid.mam,3/29/18,4/28/18,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T121757Z,RELEASE-2025
58,58,d016fe1c-d2ea-4432-9c32-cf640b455d7b,D18,BARR,BARR,BARR_084.mammalGrid.mam,4/28/18,5/28/18,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T050014Z,RELEASE-2025
59,59,d85af10c-9cf0-435b-acd7-7bf9ac2ef9b1,D18,BARR,BARR,BARR_084.mammalGrid.mam,5/28/18,6/27/18,Y,actual,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T073557Z,RELEASE-2025
60,60,94978e17-c2e7-4155-90e0-3813277e3355,D18,BARR,BARR,BARR_084.mammalGrid.mam,6/27/18,7/25/18,N,,,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T205107Z,RELEASE-2025
61,61,9212c9c1-eaf3-4e50-93b0-2851137bb3f8,D18,BARR,BARR,BARR_005.basePlot.all,7/1/18,7/31/18,Y,,,BARR.20180701.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-soilDisruption,,,,,,56.6,,square m,primary,"Tire tracks noticeably damaged the vegetation, but isolated to wet areas of the plot. Tire track depth (0-6 cm) estimated and area of tire marks calculated with simple trigonometry. ATV or UTV drove through our plot at some point this summer. It caused moderate damage to some wet areas and low damage to the dry areas.",mplichta@battelleecology.org,,20241118T205107Z,RELEASE-2025
62,62,87f6a3e3-7f5e-41ce-91e0-19e943190727,D18,BARR,BARR,BARR_005.basePlot.all,7/31/18,8/13/18,N,,,BARR.20180701.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-soilDisruption,,,,,,56.6,,square m,primary,"Tire tracks noticeably damaged the vegetation, but isolated to wet areas of the plot. Tire track depth (0-6 cm) estimated and area of tire marks calculated with simple trigonometry. ATV or UTV drove through our plot at some point this summer. It caused moderate damage to some wet areas and low damage to the dry areas.",mplichta@battelleecology.org,,20241118T050409Z,RELEASE-2025
63,63,80942d31-c576-4b4f-943f-017da8188dd2,D18,BARR,BARR,BARR_083.mammalGrid.mam,7/20/18,8/19/18,Y,,,BARR.20180720.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-soilDisruption,,,,,,60.0,,square m,primary,"Tire damage is not severe and vegetation likely to recover. Depth estimated (1-20 cm) and area calculated using simple trigonometry. An ATV was driven through the plot at some point this year. Damage is not severe, but even so recovery may take several years. Disturbance will likely not effect mammal sampling.",mplichta@battelleecology.org,,20241118T050409Z,RELEASE-2025
64,64,5126f022-ddb8-4634-a14f-cfbd3ef748af,D18,BARR,BARR,BARR_083.mammalGrid.mam,8/19/18,8/20/18,N,,,BARR.20180720.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-soilDisruption,,,,,,60.0,,square m,primary,"Tire damage is not severe and vegetation likely to recover. Depth estimated (1-20 cm) and area calculated using simple trigonometry. An ATV was driven through the plot at some point this year. Damage is not severe, but even so recovery may take several years. Disturbance will likely not effect mammal sampling.",mplichta@battelleecology.org,,20241118T050409Z,RELEASE-2025
73,73,9aac2c78-5c4e-4df3-9f41-e424f8f84f06,D01,BART,BART,BART_002.basePlot.all,5/3/23,5/17/23,N,actual,,BART.20230503.humanDisturbance,NEON.DOC.003282vD,humanDisturbance,humanDisturbance-soilDisruption,,,,,,,,,primary,"Beetle pitfall trap installed in the center of the East side of the 20x20 grid, in zone 32.4.1. There is some trampling that occurred during installation of the trap along with a 12cm diameter hole (has been refilled) for the cup and a square area cleared of litter of about 20.5 cm for the trap cover.",0000-0002-5964-2409,,20241118T115800Z,RELEASE-2025
154,154,09bc2034-bf2e-4c69-ade4-aae4a1b57432,D17,BIGC,BIGC,"BIGC.AOS.reach,BIGC.AOS.groundwater.well.006,BIGC.AOS.groundwater.well.005,BIGC.AOS.groundwater.well.004,BIGC.AOS.groundwater.well.003,BIGC.AOS.groundwater.well.002,BIGC.AOS.groundwater.well.001,BIGC.AOS.riparian.transect.10,BIGC.AOS.riparian.transect.09,BIGC.AOS.riparian.transect.08,BIGC.AOS.riparian.transect.07,BIGC.AOS.riparian.transect.06,BIGC.AOS.riparian.transect.05,BIGC.AOS.riparian.transect.04,BIGC.AOS.riparian.transect.03,BIGC.AOS.riparian.transect.02,BIGC.AOS.riparian.transect.01,BIGC.AOS.gauge,BIGC.AOS.discharge,BIGC.AOS.S2,CFGLOC112945,CFGLOC112946,CFGLOC112947,CFGLOC112948,CFGLOC112943,CFGLOC112944,SGAUGE111039,CFGLOC111040,BIGC.AOS.gauge,S1LOC111030,CFGLOC113855,CFGLOC111032,CFGLOC113854,CFGLOC111033,CFGLOC111031,S2LOC111034,CFGLOC111036,CFGLOC113856,CFGLOC111037,CFGLOC113857,CFGLOC111035,CFGLOC111038,METSTN111041,CFGLOC111042,CFGLOC111043,CFGLOC111045,CFGLOC111044,CFGLOC111046,CFGLOC111047,CFGLOC111048,CFGLOC111048",5/30/22,6/2/22,N,actual,"Contractors scheduled to cut down trees at and around S1, S2 locations. Active construction through the week of 05/30/2022, though effect from this site disturbance expected to persist beyond any anticipated end date.",BIGC.20220530.humanDisturbance,NEON.DOC.003282vD,humanDisturbance,humanDisturbance-other,,,,,,200.0,500.0,m,primary,"Fallen trees cut down and landing around and within stream bank, causing intermittent data interruption and potential changes in sensor readings during work and potentially persisting beyond work period due to debris build-ups.",0000-0003-1557-3605,,20241118T163954Z,RELEASE-2025
233,233,440beec6-275f-421d-b094-046b70ae5958,D11,BLUE,BLUE,BLUE.AOS.S2,7/4/19,7/4/19,N,actual,,BLUE.20190704.humanDisturbance,NEON.DOC.003282vB,humanDisturbance,humanDisturbance-other,,,,,,,,,primary,water level elevation data skewed. There does not appear to have been a precipitation event that accompanied the rising water level.,cburton@battelleecology.org,,20241118T104519Z,RELEASE-2025
234,234,73be3084-639b-44ec-99f8-e91023950f3b,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.S2",8/10/19,8/10/19,N,actual,,BLUE.20190810.humanDisturbance,NEON.DOC.003282vB,humanDisturbance,humanDisturbance-other,,,,,,,,,primary,BLUE surface water pressure data stream from Aug 10 @ 00:00 GMT to Aug 15 @ 00:00 GMT.,cburton@battelleecology.org,,20241118T084334Z,RELEASE-2025
237,237,5219cb40-b394-4bcf-bdca-7d0026b6599c,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.S2",11/12/19,11/12/19,N,actual,,BLUE.20191112.humanDisturbance,NEON.DOC.003282vB,humanDisturbance,humanDisturbance-other,,,,,,288.97,289.01,other,primary,"On November 12, 2019, from 16:25 GMT to 16:55 GMT, while preparing to conduct a discharge measurement using the Acoustic Doppler Current Profiler (ADCP) I deconstructed a portion of an obstruction located downstream of the sensor set and known to influence hydrologic conditions within the discharge and sensor reach to reduce side channel flow which would not have been recorded along the discharge transect. This disturbance resulted in a measured change in surface water elevation of 0.0365 meters, which is the difference between the initial elevation of 289.0071 and the final elevation of 288.9706.",0000-0002-2086-5736,,20241118T050705Z,RELEASE-2025
239,239,d126ce13-bbce-4bf0-b5f5-7abd3241ebdd,D11,BLUE,BLUE,BLUE,3/18/20,3/18/20,N,actual,,BLUE.20200318.humanDisturbance,NEON.DOC.003282vC,humanDisturbance,humanDisturbance-vandalism,,,,,,50.0,100.0,m,primary,Site vandalized near bridge infrastructure. Conduit broken and wire cabling removed. Bridge sensor set powered down at the portal due to hot wires being exposed. Ground Water Wells unfortunately are down as well since they are on the same power.,0000-0003-1377-960X,,20241118T150008Z,RELEASE-2025
240,240,1ef36657-807d-471d-b5e3-c1b19805ce77,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.groundwater.well.004, BLUE.AOS.groundwater.well.003, BLUE.AOS.groundwater.well.008, BLUE.AOS.groundwater.well.007, BLUE.AOS.groundwater.well.006, BLUE.AOS.groundwater.well.005, BLUE.AOS.groundwater.well.002, BLUE.AOS.groundwater.well.001, BLUE.AOS.riparian.transect.10, BLUE.AOS.riparian.transect.09, BLUE.AOS.riparian.transect.08, BLUE.AOS.riparian.transect.07, BLUE.AOS.riparian.transect.06, BLUE.AOS.riparian.transect.05, BLUE.AOS.riparian.transect.04, BLUE.AOS.riparian.transect.03, BLUE.AOS.riparian.transect.02, BLUE.AOS.riparian.transect.01, BLUE.AOS.gauge, BLUE.AOS.discharge, BLUE.AOS.S2, CFGLOC103865, CFGLOC103859, CFGLOC103873, CFGLOC103863, CFGLOC103869, CFGLOC103867, CFGLOC103861, CFGLOC103871, SGAUGE103855, CFGLOC113784, BLUE.AOS.gauge, S2LOC113780, CFGLOC113781, CFGLOC113782, CFGLOC113783, METSTN103874, CFGLOC103879, CFGLOC103878, CFGLOC103875, CFGLOC103876, CFGLOC103880, CFGLOC103877, CFGLOC103882, CFGLOC103881",1/1/21,1/31/21,Y,estimated,Started during COVID shutdown got dates from local neighbor,BLUE.20210101.humanDisturbance,NEON.DOC.003282vD,humanDisturbance,humanDisturbance-soilDisruption,,,,,,1.0,100.0,m,primary,Supposedly building 3 acre pond. Lots of heavy construction equipment and dirt moving on site. All trees about 100m upstream were clear cut prior to construction. Destabilization of banks evident. During rain inputs lots of dirt washed into stream. Turbidity very high which is unusual for site.,0000-0002-1844-4553,,20241118T125457Z,RELEASE-2025
241,241,6880238f-97e6-47d1-9ef5-0a9329c4d90a,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.groundwater.well.004, BLUE.AOS.groundwater.well.003, BLUE.AOS.groundwater.well.008, BLUE.AOS.groundwater.well.007, BLUE.AOS.groundwater.well.006, BLUE.AOS.groundwater.well.005, BLUE.AOS.groundwater.well.002, BLUE.AOS.groundwater.well.001, BLUE.AOS.riparian.transect.10, BLUE.AOS.riparian.transect.09, BLUE.AOS.riparian.transect.08, BLUE.AOS.riparian.transect.07, BLUE.AOS.riparian.transect.06, BLUE.AOS.riparian.transect.05, BLUE.AOS.riparian.transect.04, BLUE.AOS.riparian.transect.03, BLUE.AOS.riparian.transect.02, BLUE.AOS.riparian.transect.01, BLUE.AOS.gauge, BLUE.AOS.discharge, BLUE.AOS.S2, CFGLOC103865, CFGLOC103859, CFGLOC103873, CFGLOC103863, CFGLOC103869, CFGLOC103867, CFGLOC103861, CFGLOC103871, SGAUGE103855, CFGLOC113784, BLUE.AOS.gauge, S2LOC113780, CFGLOC113781, CFGLOC113782, CFGLOC113783, METSTN103874, CFGLOC103879, CFGLOC103878, CFGLOC103875, CFGLOC103876, CFGLOC103880, CFGLOC103877, CFGLOC103882, CFGLOC103881",1/31/21,3/2/21,Y,estimated,Started during COVID shutdown start date based on local info,BLUE.20210101.humanDisturbance,NEON.DOC.003282vD,humanDisturbance,humanDisturbance-soilDisruption,,,,,,1.0,100.0,m,primary,Supposedly building 3 acre pond. Lots of heavy construction equipment and dirt moving on site. All trees about 100m upstream were clear cut prior to construction. Destabilization of banks evident. During rain inputs lots of dirt washed into stream. Turbidity very high which is unusual for site.,0000-0002-1844-4553,,20241118T011659Z,RELEASE-2025
242,242,d6009182-ee02-4aed-82e6-0e7189edb91f,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.groundwater.well.004, BLUE.AOS.groundwater.well.003, BLUE.AOS.groundwater.well.008, BLUE.AOS.groundwater.well.007, BLUE.AOS.groundwater.well.006, BLUE.AOS.groundwater.well.005, BLUE.AOS.groundwater.well.002, BLUE.AOS.groundwater.well.001, BLUE.AOS.riparian.transect.10, BLUE.AOS.riparian.transect.09, BLUE.AOS.riparian.transect.08, BLUE.AOS.riparian.transect.07, BLUE.AOS.riparian.transect.06, BLUE.AOS.riparian.transect.05, BLUE.AOS.riparian.transect.04, BLUE.AOS.riparian.transect.03, BLUE.AOS.riparian.transect.02, BLUE.AOS.riparian.transect.01, BLUE.AOS.gauge, BLUE.AOS.discharge, BLUE.AOS.S2, CFGLOC103865, CFGLOC103859, CFGLOC103873, CFGLOC103863, CFGLOC103869, CFGLOC103867, CFGLOC103861, CFGLOC103871, SGAUGE103855, CFGLOC113784, BLUE.AOS.gauge, S2LOC113780, CFGLOC113781, CFGLOC113782, CFGLOC113783, METSTN103874, CFGLOC103879, CFGLOC103878, CFGLOC103875, CFGLOC103876, CFGLOC103880, CFGLOC103877, CFGLOC103882, CFGLOC103881",3/2/21,4/2/21,Y,actual,,BLUE.20210101.humanDisturbance,NEON.DOC.003282vD,humanDisturbance,humanDisturbance-soilDisruption,,,,,,1.0,100.0,m,primary,Supposedly building 3 acre pond. Lots of heavy construction equipment and dirt moving on site. All trees about 100m upstream were clear cut prior to construction. Destabilization of banks evident. During rain inputs lots of dirt washed into stream. Turbidity very high which is unusual for site.,0000-0002-1844-4553,,20241118T193003Z,RELEASE-2025
243,243,12451796-6b2d-4747-a2e0-790e57c678ae,D11,BLUE,BLUE,"BLUE.AOS.reach, BLUE.AOS.groundwater.well.004, BLUE.AOS.groundwater.well.003, BLUE.AOS.groundwater.well.008, BLUE.AOS.groundwater.well.007, BLUE.AOS.groundwater.well.006, BLUE.AOS.groundwater.well.005, BLUE.AOS.groundwater.well.002, BLUE.AOS.groundwater.well.001, BLUE.AOS.riparian.transect.10, BLUE.AOS.riparian.transect.09, BLUE.AOS.riparian.transect.08, BLUE.AOS.riparian.transect.07, BLUE.AOS.riparian.transect.06, BLUE.AOS.riparian.transect.05, BLUE.AOS.riparian.transect.04, BLUE.AOS.riparian.transect.03, BLUE.AOS.riparian.transect.02, BLUE.AOS.riparian.transect.01, BLUE.AOS.gauge, BLUE.AOS.discharge, BLUE.AOS.S2, CFGLOC103865, CFGLOC103859, CFGLOC103873, CFGLOC103863, CFGLOC103869, CFGLOC103867, CFGLOC103861, CFGLOC103871, SGAUGE103855, CFGLOC113784, BLUE.AOS.gauge, S2LOC113780, CFGLOC113781, CFGLOC113782, CFGLOC113783, METSTN103874, CFGLOC103879, CFGLOC103878, CFGLOC103875, CFGLOC103876, CFGLOC103880, CFGLOC103877, CFGLOC103882, CFGLOC103881",4/2/21,5/2/21,Y,actual,,BLUE.20210101.humanDisturbance,NEON.DOC.003282vD,humanDisturbance,humanDisturbance-soilDisruption,,,,,,1.0,100.0,m,primary,Supposedly building 3 acre pond. Lots of heavy construction equipment and dirt moving on site. All trees about 100m upstream were clear cut prior to construction. Destabilization of banks evident. During rain inputs lots of dirt washed into stream. Turbidity very high which is unusual for site.,0000-0002-1844-4553,,20241118T182548Z,RELEASE-2025
